L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
Anthropology and Social Customs,0.028859626906894604,0.2696358790798816,0.007827887998797028,0.06740162251535088,0.04775372460398537,0.06997066860517615,0.0020752141065998064,0.11676203181046636,0.0023950869021656302,0.11102562211945424,0.26733573202088795,0.00895690333034036
Arts and Archaeology,0.16801434482931923,0.18983277994805275,0.0018175745643193714,0.10866256931649618,0.005686676380602446,0.14289830763139375,0.0012924760418466887,0.10692286968965391,9.248051580436508e-05,0.10884998763546895,0.15858857285840666,0.007341360588635723
"Economy, Trade, and Technology",0.08141509033131437,0.04275926897248489,0.0020590709447993838,0.15990998320983124,0.008697572898480456,0.45470895096639324,0.08711416289205941,0.08980774006646015,0.0006581132720369333,0.02164323404519966,0.04786114167729493,0.0033656707236453553
Education,0.017501219044294032,0.21085241674888558,0.010115325219669938,4.048355277574906e-05,0.008067038481460957,0.3626202467474603,0.0011204431764715917,0.08559476649959477,4.0483317542440075e-05,0.00689743815222157,0.29710965613483287,4.048292479015383e-05
Geography and Travel,0.006773277323987723,0.08404914039240657,0.018155875461383527,0.24417512711906947,0.026402936776856987,0.12322324272283167,0.0672871672825995,0.10585312193566077,0.009402027485740424,0.07279464679028942,0.23663687882302742,0.005246557886146518
History and Chronology,0.012387246293486361,0.16075173163615758,0.006790636042438411,0.06888048283191203,0.01534945865434091,0.20501494788080676,0.002208155623104045,0.1652730160223137,0.0004335629164534163,0.006198780446846404,0.35405385913899234,0.0026581225131480373
Literature and Language,0.02150725574214804,0.1351496026401441,0.001639195022692419,0.052766268423963425,0.014220458716389238,0.16883722931458978,0.0010301337019841062,0.14265729369808483,0.0017835959152160887,0.09332818443737902,0.3543380004033636,0.012742781984045274
Military | Natural Sciences,0.025458356602748984,0.19869555449950357,2.77452307333812e-05,0.0077941290103221966,0.011439452857642696,0.3517668861937602,2.774478752367103e-05,0.30208226380677394,2.774531778432503e-05,0.04980657934563531,0.05284579683991748,2.7745507654273944e-05
Natural Sciences,0.006805287941401421,0.12328907512511735,0.07024998184683053,0.144973147718475,0.014608872137945123,0.1229355007123609,0.016779612340540335,0.03999784348386753,0.061164083347778786,0.21621968841191871,0.06297132052220854,0.12000558641155581
"Politics, Government, and Law",0.007180252966739413,0.0456928779074088,0.0017296240713426461,0.009455099562594105,0.0038278858505668627,0.3144977241823028,2.8503318722744463e-05,0.09884045862120094,0.004573841500428273,0.0027801048012163145,0.511087577049569,0.00030605016790813855
Religion and Philosophy,0.005348185459546138,0.19447212653841553,0.0019186428538722938,0.05065256963863343,0.005053455405874133,0.04695756944627284,0.0006860068301469852,0.12814085760671853,0.000696776078620607,0.011282798852369736,0.5534633696876753,0.001327641601854466
