decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
1850s,0.04741438861664357,0.06543320017419346,0.058249953805669885,0.011197981834510717,0.0036807075129798913,0.0016903931682304522,0.02464624784146378,0.007402938796907054,0.026388395106809858,0.06717737218722251,0.010332116862596162,0.0013308403868247994,0.007760127664936665,0.011010804074240777,0.013461136785798055,0.026315044948588315,0.07792273292484968,0.0010064550695965497,0.10048093206793578,0.0048863112728022885,0.024765427480520772,0.0021683686008390313,0.09750045968523814,0.008531049709938844,0.0054574450563170136,0.17405046312380243,0.012058172690703133,0.026274340331461192,0.0195777955841787,0.06182839663420049
1860s,0.02970885360429598,0.1034495644705846,0.11504388766948932,0.01330887487381586,0.012072492369237041,0.06868152864137238,0.04106167016288124,0.016503142070835,0.005799600599232085,0.04085995693467406,0.05493135776535407,0.005697782100056328,0.029826419166756733,0.00931715282149496,0.08573076182290915,0.04423913923156889,0.02953964149647803,0.005044737771233429,0.01962127077362871,0.011640079737656385,0.01565121612406518,0.006143340487079623,0.0327236875145144,0.010890121467908829,0.0058632071105504295,0.06515789040569761,0.019411937943437343,0.0198396180624708,0.044345411261091996,0.03789565553962951
1870s,0.03575911448364355,0.029657417237549617,0.047191238199735454,0.01790499226512094,0.00792967011737928,0.004447034385495363,0.06559143027281594,0.04229800304570695,0.00942155197621185,0.026260769672450415,0.07433839314204377,0.00390749298005585,0.08372895438119574,0.07702284531032168,0.022146846026618087,0.023108904691530964,0.026281176772126488,0.00586725958306458,0.030786500581063563,0.01991870841128821,0.0616873289386684,0.008168959174100855,0.07910220160326566,0.009210088430941892,0.006912752432537821,0.021433692738500393,0.016921902468467694,0.02393684361028548,0.024659823371189743,0.09439810369662376
1880s,0.019795755236422817,0.06825642713864484,0.04982352061189133,0.05517671187566416,0.009622391104560781,0.03731499274809743,0.07679807544639074,0.0403912460285084,0.02872766449930895,0.03181428316356298,0.03544823583211219,0.026853932978339774,0.00683215113505259,0.04731263656840541,0.03335163967435931,0.015691551192922128,0.009676378813206314,0.039187678224158556,0.07532671842033305,0.021728907015098917,0.057263323815533576,0.00447833342124691,0.014519450231360607,0.02802906307481867,0.015960867965700697,0.02766477275645286,0.018449890259212273,0.01756998739152053,0.027037538921312665,0.05989587445580056
1890s,0.03122935725978307,0.02942552905037531,0.030290895426773795,0.07516135699450648,0.006234028898069283,0.04385161341126417,0.0336678609367724,0.03724207472303972,0.06457799077787232,0.019528448281743417,0.020034595917254098,0.001927404280243527,0.09561809314229541,0.03431840858786894,0.001102578388241499,0.01933735705000906,0.006206379424548272,0.0026381467601030565,0.013290146279894255,0.030010348933187974,0.11318318675216395,0.006479645246824891,0.0063356295466425825,0.023499033103922665,0.0031852228398857644,0.015318139623247245,0.05429912239144045,0.04057906356860858,0.0625519507032495,0.07887639170016833
1900s,0.0545796200968801,0.05969776100835261,0.04907865341580523,0.028690765487979455,0.010889117676141027,0.0012974861208506923,0.07644213946103126,0.04333128571935907,0.049838344869620146,0.05660498441295702,0.049625631008931,0.00791206980162862,0.03733906832209305,0.00695550148995982,0.008597006498458515,0.0564825636369514,0.03771145903570817,0.03347045938864055,0.024813949344368383,0.019973453172474783,0.07680051634227937,0.006012058808664683,0.00593668868069062,0.011781018334077319,0.006555409999920885,0.026438543486107163,0.050779422907173286,0.01418103595118902,0.04273873957407054,0.04544524594763625
1910s,0.036098961140512156,0.0402063624733615,0.021702352118374214,0.006215394719728209,0.02191147487503008,0.007881751395699044,0.017113028433846933,0.04721809943380814,0.017370548090306148,0.04821307495934405,0.054835084692558496,0.009428840958243994,0.019278983812530737,0.016856751804129055,0.013562529567528167,0.08615461046503238,0.061361914479983175,0.006163555719057635,0.05837084773048017,0.07980153142932543,0.0243980551130428,0.016557252578817214,0.02571864078214124,0.04195391585884001,0.03148142263808929,0.012505354150721749,0.05896416683031016,0.016696846507986324,0.0208103265121336,0.08116832072903789
1920s,0.04487764429107932,0.03076038193620955,0.032907298635737436,0.004198783929320095,0.03909679878090788,0.004764331261634443,0.02736515792360922,0.08037587440661545,0.006720229829690285,0.0752102678979401,0.03439324954568287,0.019911617395985994,0.012943027451482157,0.01910865443708688,0.025350469805520675,0.058368949125703895,0.02171689267196035,0.00977154455531645,0.03611891613800791,0.0677887967510875,0.03678138612721632,0.03192503836450363,0.013272581941871198,0.048568687931780784,0.027053274349238238,0.013571828269339272,0.0865504970272132,0.026774569751970075,0.023299260263273426,0.04045398920301543
1930s,0.011144954078710481,0.015381110621643261,0.0459005021932856,0.004138321291640003,0.027090068570564677,0.004893714708133566,0.005814860094527414,0.05450516847927769,0.002227989341831067,0.11376079585693881,0.011393711366655712,0.001600227151899901,0.04186459107020959,0.027416043544350965,0.004475197467427863,0.07064472517190325,0.02401478316235721,0.00487405854683913,0.032574467953005844,0.08728710150732931,0.007370117584713912,0.034466382983640985,0.03635688893566862,0.014392923799770418,0.01586011623058031,0.020369409830705888,0.09233578011948233,0.014555546602342576,0.023975138716847144,0.14931530301771648
1940s,0.0026548596524111154,0.022080474515625517,0.0,0.0,0.0003787993582353088,0.47446212501714863,0.07364689560968453,0.04564207220366729,0.005065863760571267,0.0,0.07793423011331013,0.0,0.0,0.05905459776246334,0.0,0.0018288914825380562,0.012605143791111039,0.00378989055163042,0.0,0.0,0.031437586887310943,0.014254990627440794,0.0,0.019789255043748503,0.0002274819825458555,0.028612577462062912,0.08963308289313643,0.0,0.03690118128535792,0.0
