decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
1850,0.07726433837603322,1.6211855315639555e-4,0.07178107798946261,0.008537459055823626,0.02883523289223664,0.009887468138109366,4.0251549862812316e-4,0.017743903535327666,0.0010309204479484768,0.12229584934047855,0.009918403106332196,0.006942980485704259,0.08104044840155132,0.01532157213114715,0.049747608159159774,0.0024391847871404132,0.14441806211949523,0.2676607743639434,0.04040106037567897,0.044169022242642596
1860,0.025947424825341882,6.586497733322779e-4,0.01817679966033786,0.012069789540049055,0.027197191021389,0.010666671794886465,0.03504234797957552,0.04130678515833687,0.0043110592080676125,0.17330875169788126,0.019551175695954416,0.039452355484013456,0.07505486029374951,0.053062323165364314,0.031374917206983335,0.008966637612149886,0.03408843328996818,0.1991500038805097,0.006161970291857228,0.18445185242025217
1870,0.015098765876278836,5.81287715684183e-4,0.06409907279449724,0.04318261398916365,0.027352447786914143,0.001484577751870342,0.08881465935625078,0.1418682679447431,0.018816975729447287,0.07049085605965302,0.04818857494394152,0.09236580009119788,0.023743568245315615,0.06693226847290965,0.07099596539909768,0.005388906716313242,0.08336557081144086,0.07809428762096317,0.01355587969628507,0.04557965299803272
1880,0.0038842125514004676,0.03781728410801391,0.0061476416440982345,0.05116340687627149,0.0036388790494358515,0.018237885402648448,0.03862559355869809,0.02812602267389725,0.03001791303928471,0.08832109511653537,0.0491667807569852,0.07111351159757535,0.0609953526207197,0.05266617544574352,0.046415320651428886,0.0351681924415644,0.13482801662802868,0.08674827265809928,0.05894324914826664,0.09797519403130449
1890,0.003156858431353418,3.772524304296285e-5,0.0029005048985708552,0.10154583029029152,0.0040221409407686206,0.002469123980164242,0.033679677927384355,0.15627873544599877,0.0047787565363915105,0.023333562845324618,0.02949212926823704,0.08130194536845534,0.09236429547433186,0.10427372869526279,0.13603940086042143,0.0030133884138847334,0.07286212153712794,0.06474329616637832,0.06264454710482695,0.021062230571782706
1900,0.03451206737347115,0.03193207878031482,0.0011169096789493493,0.019325730805759323,0.026330662787246488,0.009685694715579778,0.016286149390535954,0.07887226251714169,1.8366487357719972e-4,0.10157961673811672,0.037552279144189675,0.0688111473684563,0.09846351857435852,0.07831949662971377,0.12789074989466254,0.024870582104090357,0.06701102995112812,0.0719702835463275,0.08845005027091155,0.01683602485546908
1910,0.08173458291073331,3.775752992916407e-4,0.008401035705538278,0.006406434566642464,0.07287433639650796,0.06041640824541027,0.01760089232161574,0.04331248481342065,0.014296891392476847,0.04991237138554724,0.02682137031737131,0.09614253450314746,0.09917477732956276,0.13232609226961214,0.0402180401804943,0.0031158828310517074,0.12703094464259304,0.03782502361087772,0.025328389160623507,0.056683932117481614
1920,0.0075047752239156326,4.00437522079803e-5,0.003365008000859346,0.006713635273215944,0.03637053759124282,0.08018905961547883,0.035893514894711195,0.043651543759206005,0.03565629859696769,0.044475033337039054,0.022301229386630976,0.06237385176988362,0.12847586455520668,0.17563366949943887,0.04723014098360195,0.018187565485642997,0.11721866064454746,0.061162120057668155,0.008801711229225769,0.06475573634330903
1930,0.028555987019633043,0.002149926958581846,0.01598938241252714,0.00441548206417419,0.026941121966345367,0.04490759589124161,0.016856088479578292,0.10928013729056547,0.02957771495197159,0.015630775383292637,0.007254835101692505,0.06623848102149181,0.18589358014663926,0.07884084635265325,0.009371378066657521,0.0037279918196225113,0.26988966790854646,0.048407504287849075,0.0012525170408590105,0.03481898583607746
1940,1.1455807388017418e-4,1.3925648729394634e-6,1.3257989973071568e-4,0.0014272307622128408,0.002023071704644371,0.0014841024953198016,0.0030782056808524114,0.008964860476424351,7.105879333481701e-4,0.014779219143012886,0.4337927044441029,0.2493552200586164,0.017918305634481647,0.03854349454917629,0.16689172307049674,3.749400672193724e-5,0.03388951105292573,0.02387490197362453,0.001104759181018691,0.0018760772945365888
